ID,x_cen,y_cen,Cluster
1060,1684,243,2
1061,630,278,0
1062,942,259,6
1063,368,323,1
1064,204,314,4
1065,1277,287,5
1066,1683,243,2
1067,365,322,1
1068,631,278,0
1069,942,259,6
1070,204,314,4
1071,112,283,3
1072,1277,287,5
1073,1683,243,2
1074,633,278,0
1075,368,322,1
1076,942,259,6
1077,204,313,4
1078,1277,287,5
1079,1683,243,2
1080,630,279,0
1081,369,323,1
1082,942,259,6
1083,56,297,3
1084,148,181,-1
1085,156,342,4
1086,205,313,4
1087,1277,287,5
1088,1683,243,2
1089,369,322,1
1090,630,279,0
1091,942,259,6
1092,156,342,4
1093,146,181,-1
1094,56,301,3
1095,205,313,4
1096,1277,287,5
1097,1683,243,2
1098,369,322,1
1099,632,279,0
1100,941,258,6
1101,205,313,4
1102,57,298,3
1103,1277,287,5
1104,1683,243,2
1105,632,279,0
1106,357,321,1
1107,941,258,6
1108,156,341,4
1109,112,282,3
1110,205,313,4
1111,1277,287,5
1112,1683,243,2
1113,368,322,1
1114,631,279,0
1115,941,258,6
1116,149,181,-1
1117,56,297,3
1118,204,314,4
1119,157,342,4
1120,1277,287,5
1121,1683,243,2
1122,629,279,0
1123,368,322,1
1124,942,259,6
1125,156,342,4
1126,320,157,-1
1127,112,282,3
1128,147,181,-1
1129,1277,287,5
1130,1683,243,2
1131,370,321,1
1132,630,279,0
1133,942,258,6
1134,204,314,4
1135,147,182,-1
1136,1276,287,5
1137,1683,243,2
1138,368,323,1
1139,630,280,0
1140,941,258,6
1141,205,313,4
1142,111,281,3
1143,1276,287,5
1144,1682,243,2
1145,368,322,1
1146,630,279,0
1147,942,259,6
1148,206,313,4
1149,149,181,-1
1150,1276,287,5
1151,1682,243,2
1152,368,323,1
1153,630,278,0
1154,942,259,6
1155,205,314,4
1156,150,181,-1
1157,55,297,3
1158,1277,287,5
1159,1683,243,2
1160,368,322,1
1161,632,278,0
1162,942,258,6
1163,205,312,4
1164,37,248,3
1165,1276,287,5
1166,1683,243,2
1167,368,323,1
1168,632,279,0
1169,941,259,6
1170,206,313,4
1171,36,247,3
1172,1681,243,2
1173,1273,288,5
1174,367,323,1
1175,941,259,6
1176,624,278,0
1177,205,312,4
1178,155,342,4
1179,35,247,3
1180,1275,287,5
1181,1682,243,2
1182,368,322,1
1183,624,279,0
1184,941,258,6
1185,205,312,4
1186,35,247,3
1187,1276,287,5
1188,368,322,1
1189,1682,243,2
1190,941,258,6
1191,631,277,0
1192,205,312,4
1193,36,248,3
1194,1275,288,5
1195,1683,243,2
1196,367,324,1
1197,942,259,6
1198,629,280,0
1199,206,313,4
1200,36,248,3
1201,1276,287,5
1202,367,322,1
1203,1682,243,2
1204,628,279,0
1205,941,259,6
1206,37,247,3
1207,206,314,4
1208,1275,287,5
1209,1682,243,2
1210,368,323,1
1211,625,278,0
1212,941,259,6
1213,206,313,4
1214,35,248,3
1215,1683,243,2
1216,1275,288,5
1217,366,323,1
1218,941,259,6
1219,626,280,0
1220,205,313,4
1221,35,248,3
1222,1276,288,5
1223,1682,243,2
1224,368,322,1
1225,941,259,6
1226,629,280,0
1227,205,313,4
